VotePubkey,VoteCredits,ActivatedStake,Commission,Reward
DiSGejVwMNoXn3Digh4sPpNErMtu7UuKATRHdsBu9sgS,360768,38810.09,7,1.24
QUANT7qKUEW4PS4eP9jq4K35rDHpgWkWcgjbW1CwnGJ,385497,591811.85,0,0.0
sAESK3Gda4FqBXvbj1XfwLL3ZMzhuW8NikgXJvPYV88,360455,51374.79,7,1.88
66PSXQ5Z7mFqLZFEMYD657PJFGqwqqqLoFa1rkrp2S7G,360483,49929.17,7,1.81
52WzGBfGF2M2o7j8GUbaw5gUQHjKWgWzHtshEX5P2Tmm,360786,55382.68,7,1.83
5F5ezg3t2kaehWGTEnhvexSPEzUZ45tp37sDRjKzDscZ,360949,49008.72,7,1.69
28E8jAYguhHPuuMKxQJpSmU3J75zi6iFmktYbiam8eyS,360998,12731.68,100,6.65
zuSTGUom2RaEsQDAoZ5rG6YwuepdkZKpcjUDFJZE54P,360484,39199.06,7,1.24
7PmWxxiTneGteGxEYvzj5pGDVMQ4nuN9DfUypEXmaA8o,360439,305313.11,0,0.0
8d25KBXdovroNVbjRmvDeW7H3QMW2nfZZo7G9zQ693ki,359976,60561.84,3,0.9
RNXpSdqrJL6eoLrbW69Q9qsFviEwRpfFfk3HiRRRohq,360891,436745.89,8,15.95
EFeLsLsrLhGqy7LSdws4sKvinvCohBBAda2q4iHBrrss,360878,54646.32,7,1.9
AbacusTT3yhEFEKkQKjGStDhKDnvSFGpg9EqBwz8FnDF,360954,35880.61,5,0.81
GptPXjYUBUjxpRmueH6F5JcqizvjPTRDShTJQ8Vp6uN1,360973,171372.69,7,5.63
4H31h7d5eZXdeyS6mkhbaj8V5sgbZikBHQxCwyaF6nRq,358098,52064.35,7,1.77
3JadNLK7V9NNzC9a1jRAZQXExT7mBtBhcjCaaaRE7B3R,360487,34586.45,7,1.09
AWxcQc8GdkqU9C2TYLJXU9kvZgVGHiuHSm62TvbKuVEv,360951,53749.77,7,1.89
2uuSBFp7gLzBBA9w1u3ZfHd3ZrXypctbuRheH2EBgcpn,360609,39582.85,7,1.27
Bkskrv38Kn7zJR5mvmbCDGn2M4Jyhzt2ZqwQXV6rYnXa,360926,938583.23,100,378.97
EogKVYgic8LKAuV1kR9nRqJaS5zpwCvSMfqoehzmAMpK,361073,135707.4,5,3.1
87d9cGc1xHFxoiteZhXjYL48U6B1DAdLhpxXhmVKi1un,360821,55793.1,7,1.91
H9DZHSMsytPrGKjdsqoMJ19RxrXaaFFZMwN7kgquQj84,360765,10113.81,100,4.92
D21r1TUPx5XnC3qSCshykA2beYbe6PejvV59apKH6xfD,360819,6063.72,100,2.93
HNXuDfYtRnRjcUJHqfNg6sKzeqfz3YBCXeZQEBwZJg16,359870,57091.29,7,1.93
HymVLhdKah8BrZj4FAXJJYH8nhWGqjqvFvPFJM5L5VNa,352583,34451.56,7,1.07
26WLNWKrYSyPkQF2NU9LgLSRXGiXWjhPnvspG8ibFh63,360892,56369.57,7,1.99
CHUF69YeA3gZv484izYuhKk1EjaJYjv1pNoJJ6QeFDQc,359658,8245.26,100,4.37
7xENfwKCajMB5aVTgmTB6h7d7Su91wTcnfMjoAQCMvKq,352334,2916667.65,100,1295.48
8PTusiY7z4wfjScHU6hr459AFDzrCki4wWmwhXd91mMr,360363,54712.77,7,1.98
5KgAGvMLZogKnDGKGgn47xY6GaTwQ3WBbGPoBxW5nDqp,360341,51956.86,7,1.82
21wUViiyG1g47VZ39ZZsSkFX9nu6bkyfy6jryHGD2TUB,360829,35205.01,0,0.0
Ac8zL56RqrEwZcJa2HL7ZVCBW8py1ehVYj5qmfJXcdFQ,360641,226221.61,0,0.0
AMGXof8JgLZomo67xeDCJs7rM9xaCdpy9k4CmN3W9bfs,360499,9452.16,100,4.94
HwcVgFSgmfeeF7zGFUBLoVA8Hpx8rtwyfCrJ1npBaSVC,360252,11546.5,7,0.21
45W8qw7QurSGkRrsiQpYapifreLouNv7hFbwnnzRjMMR,360683,44003.57,7,1.54
6QbXuFT59Gu9ihxPmUcLFpTfgXwaSxoJPUTcEDkidPAE,360570,55813.54,7,1.92
AydeaGSrcjqdwSQmck7fhNe543Eai1v22cA8sKQwvDLf,347406,6285.57,100,3.39
5cXLZKeTuRm95ng96K2qCdxB2kSU1ajW291HmEkNpXkM,360816,51715.21,7,1.77
HFpuMHuQqUY9o5D4g5ByAJKEYQrMLjwcusDNjozXa4Dg,360778,51619.74,7,1.75
G15KujziTiDdrVKVbA9sCjbNHkNuHMSAZ9xdp9eVT2Mr,360541,10046.6,100,4.87
2PpHNHPLseBb4doTu1ajTwAxCrjmu7ubReDHKPrjxi9F,360828,88619.01,7,2.89
H3GhqPMwvGLdxWg3QJGjXDSkFSJCsFk3Wx9XBTdYZykc,360543,133471.54,10,6.08
uTnZDhnbiSV3TX2obj71nFPAm2aXy83mFTFYzaBRk34,360818,59856.91,0,0.0
5AC692spnjbegP7ttCXJEzUe8S81sLYsqJd8Ae6Zv1xU,360817,45354.31,0,0.0
8gJCfKzr55gM6DtAaFqoWjBGAmsJ71mpHem6qJAASBU4,360991,51629.93,7,1.81
9o4Y8WvRisPxEpuo4sZBq1CtfNsYanzp87bSgeYuGf3R,360875,74731.29,0,0.0
GB44NXtM7zGm6QnzQjzHZcRKSswkJbox8aJsKiXGbFJr,360846,575655.64,1,2.66
GREEDkpTvpKzcGvBu9qd36yk6BfjTWPShB67gLWuixMv,357110,2.01,0,0.0
HhsdMwhsaUgAtYZ2pedFEWZwsAhGZsjLF3sjFquS1H2Y,360628,44785.69,7,1.41
66fsNu5A6iB1WUXGjuBMBXm2qYQrbtc385bcVYaVu7QD,360831,52048.69,7,1.83
dcwMB2qjmAwid5KNo2qquBPyDxzdLfe9io8JAxeRU5m,360336,59446.21,7,2.03
6ztDG1XRZiuXtoCotN51kUPtdHXwRAgRiVEbbUfoQ6CK,359621,62843.06,7,2.13
DriFTm3wM9ugxhCA1K3wVQMSdC4Dv4LNmyZMmZiuHRpp,360859,51042.21,7,1.57
7miZ2ZoXwS3YDzBRCbWcEtNVyuxk8WbbcyQwq7i5btvZ,361347,51540.43,3,0.76
GFQmJaC2SqTDf2tfAHauiGdaBfBD8tJVpwZTT78SeBCr,360862,52540.3,7,1.83
D3QPJm7BDzzPeRG51YZSEz3LfV7GvFNu9NkcibzURxuj,361009,7465.62,0,0.06
8ZvTbWfA7txjkNubA9jnv8CWQtwbaZSzpf7vaDDcxMr5,361515,53648.93,7,1.79
BWBf7yJzAgDrDA5L5Tjn9TN7DbsjKdjcWJPT7gNi51nD,359572,54383.85,7,1.87
B191sdbDFjEmLLNixWEfjsoxoYLbr5hnpT39KKoqgkUp,360787,42523.75,7,1.74
2wTzvCfVGJuGUTvRD5qMtmxAaVJE43suTN31enfW44yb,361012,42241.6,0,0.0
9QAWHKhWuwAYc6vZhGarcai9WeFeZNeBJTNfMbNTbKQ9,359716,54615.04,7,1.86
EdrtTDHBiECSuzNLsZH63QgXNHuty6JVu5cAink12Tjg,359035,5503.82,100,0.21
DbvxuUhsh81y3f1NrqHEHbWA6xJfVbfY3eNTa1rFoWzQ,360916,46363.67,0,0.0
8Uxj5i7CHajuNBUSNHdGzTz8yvmHHk2HfHwLt5ac1wxV,360977,38580.63,7,1.23
KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag,360179,3664269.72,100,1679.4
5wYHvcKbCHPsT9dhEZaVZzoVY1qA7bosKRzKczpcaXpq,360506,145166.95,7,4.95
ADoWVeGQscFzTue51tMtFiLWiTTYYnkQryQFN9VzoRxL,360614,5249.35,7,0.0
J1to3PQfXidUUhprQWgdKkQAMWPJAEqSJ7amkBDE9qhF,361005,358692.03,4,6.47
6h8UDnJb4Rw7j5ZnszWPE5qKdCmQpXSpbfndzHbzjJ1Q,360960,45861.99,7,1.44
FGRz29GorTc2T6MARp1XF9ZMJzVVNfdfNS4rHUXJPgVa,360769,118413.2,5,2.69
NM7f9N6qGAW6bfGYPxp1ZU5ycD1SWqPvFSx6VyeHNvK,360784,85857.4,7,2.88
FYaScwmTfzX9prmqdvxr6KbKHQ6yfEmW7S8fmZrMRrPn,360414,6711.48,100,3.74
257RiTszC98omSCmX9KjNMwDDhiceGPcHtPyzC184D8R,360847,9795.1,100,0.33
Fc2GXrMTuZvZh5cPR9ovSk5Jn9auU4pdjt337G5MczMq,360897,9608.48,100,5.65
E3gHWAvHRCRoDogDPF2Z1Z12ESucz2qqxreXHbMMVXKC,354681,106.68,7,1.17
83pBJ852VuvrX8yaJgNSeYiEmgP98WuUGoADtaZUuqMR,360480,5150.0,7,0.0
JE7Hie2UEQLWLNgXXvS3P9oe86uBetxmXC5zdXMBqSQL,360717,57129.45,7,1.93
5PyiGb6dNrCaKTkMfovKRQPYgH5zizcsvXp9YUAVWqbo,361150,51819.1,7,1.8
4n7VikBy3jT2HHBjeJrTARCrBko8xhxRRLSULj79RCZL,360590,8659.0,100,4.73
77vww1KxwCCsVRFioJbV4CGwTVyeyrf3KRC9SZdbHwtc,360651,37790.87,7,1.24
